name,latitude,longitude
Birtat Lahmacun,37.9616474,40.161093
Asmin Restorant,37.920108,40.234257
Hindici recep usta,37.9177846,40.219912
Kardelen döner,37.9249733,40.2109826
Çorbacı recep usta ofis,37.9180893,40.2195446
Hasankeyf Sofra Salonu,37.9152823,40.236239
Kervan Sofra Salonu,37.9207563,40.2212479
Balıkçı Kemal Diyarbakır Balık Restaurant,37.8750329,40.2279431
Aruse Lahmacun,37.9250511,40.2091673
Karizma Lahmacun,37.9204768,40.2194439
Avia Pizza,37.9462317,40.1659301
Göksel Tantuni Diyarbakir,37.9262183,40.1506797
Ciğerci Remzi Usta,37.9153254,40.2371996
Amed Lahmacun,37.92612159999999,40.2097862
Tadım Burger Sedat,37.946904,40.1738866
Anzele Paça,37.9204811,40.2235398
Urfalım Lahmacun,37.9257752,40.2031424
Ciğerci Zeynel,37.918385,40.22924099999999
Gurme Restaurant & Cafe,37.9131084,40.2159912
Buket Lahmacun,37.9220848,40.220047
Havuzbaşı Restoran,37.9197625,40.23354459999999
Fidan Lahmacun ve pide salonu,37.9211968,40.2186438
ICE-MAR DİYARBAKIR,37.9350359,40.2024646
ADANA DÜRÜMCÜSÜ KASİM USTA,37.9207438,40.2211
Tendur - Diyarbakır Mutfağı,37.9291124,40.1517581
DİYARBAKIR LAHMACUN VE SULU YEMEK FABRİKASI,37.9251132,40.2019423
"Ciğerci Muharrem Usta ""ofis merkez""",37.9213797,40.2189514
Kanatçı Seyit Usta,37.917706,40.2186949
Diyarbakir Çiğköftecisi,37.921137,40.2034363
Hey Döner Diyarbakır-Ofis,37.9197462,40.2203556
İDRİS KÜNEFE,37.9249733,40.2109826
Bağlar Ciğercisi,37.917769,40.2107633
Akdeniz Tantuni,37.9180216,40.2208585
Merkez kavurma,37.9231013,40.220546
Keyfi Kebap,37.920615,40.230442
Dost Ocakbaşı,37.927284,40.2069055
TERRA PİZZA DİYARBAKIR,37.9285168,40.1697456
Alaaddin Kahvaltı,37.9202464,40.2188224
Smoke Lounge Diyarbakır,37.9497311,40.1647245
Öz Fidan Lahmacun,37.9252676,40.2044823
Pasaport Pizza Ofis,37.9242138,40.2201925
Skyfall LOUNGE diyarbakır,37.918626,40.22023009999999
beylerbeyi garden cafe restorant,37.8672392,40.2275791
Acem Gölü Çay Bahçesi Restorant,37.89375709999999,40.2309568
Ciğerci Xale Meheme,37.91555109999999,40.2354599
Piran Ocakbaşı,37.9160204,40.2083097
Umut Ciğer 2 - Diyarbakır Ciğerci,37.9365614,40.2034821
Mustafa'nın Kahvaltı Dünyası,37.91276209999999,40.2369908
Tavuk Dünyası Diyarbakır Forum Avm,37.9582626,40.18428249999999
Pasaport Pizza Lunapark Diyarbakır,37.9339128,40.1377635
Çıtır Pide Diyarbakır,37.9130778,40.2243659
Batıkent Lahmacun,37.926097,40.2132549
Oryil Tost Evi,37.9221043,40.2151051
Elit Döner,37.917548,40.2081899
Diyarbakır MİS Tantuni Ofis Şubesi,37.9190166,40.2202201
Alican Çay Bahçesi,37.928907,40.2094396
Bereket Döner Ceylan Karavil AVM,37.9250616,40.2106719
Mercan Döner,37.9186829,40.2143512
Piran 2 Ocakbaşı,37.9215368,40.2204518
Kahvaltıcı Edip,37.9121166,40.2372749
kokoreçci tosun,37.920412,40.21939
Nefis Döner Salonu,37.9180901,40.2208802
Soylu Hatay Döner,37.9364152,40.1441901
Şadırvan Sofra Salonu,37.9237053,40.2105118
Esnaf Çay Evi,37.9255801,40.2105484
